datetime,open,high,low,close,tick_volume,spread,real_volume
2019-01-02 00:00:00,1.1445400000000001,1.14788,1.1442700000000001,1.14787,2237,2,0
2019-01-02 08:00:00,1.14779,1.14967,1.1367,1.13713,37875,2,0
2019-01-02 16:00:00,1.13712,1.1374900000000001,1.13247,1.13437,35025,4,0
2019-01-03 00:00:00,1.13436,1.13712,1.1308799999999999,1.13605,23260,3,0
2019-01-03 08:00:00,1.13605,1.13837,1.1337,1.1365,39171,8,0
2019-01-03 16:00:00,1.1365,1.14107,1.1360999999999999,1.13929,49605,5,0
2019-01-04 00:00:00,1.13923,1.14113,1.13847,1.13897,13444,6,0
2019-01-04 08:00:00,1.13897,1.14187,1.1363,1.1371,30945,8,0
2019-01-04 16:00:00,1.1371,1.14174,1.13453,1.13955,43297,2,0
2019-01-07 00:00:00,1.13957,1.14296,1.13952,1.14229,10399,4,0
2019-01-07 08:00:00,1.14229,1.1458599999999999,1.14096,1.14573,25226,8,0
2019-01-07 16:00:00,1.14572,1.14821,1.14533,1.14739,26238,3,0
2019-01-08 00:00:00,1.14737,1.14841,1.14318,1.14432,11771,5,0
2019-01-08 08:00:00,1.14433,1.14688,1.14216,1.1427,28779,8,0
2019-01-08 16:00:00,1.1427,1.14587,1.1424,1.14406,24826,3,0
2019-01-09 00:00:00,1.14409,1.1466,1.1437,1.14607,11310,2,0
2019-01-09 08:00:00,1.14607,1.14785,1.14387,1.14622,24886,2,0
2019-01-09 16:00:00,1.1461999999999999,1.15578,1.14616,1.15415,48920,2,0
2019-01-10 00:00:00,1.15416,1.15698,1.15391,1.15605,15964,2,0
2019-01-10 08:00:00,1.15605,1.15612,1.15176,1.1520299999999999,30215,2,0
2019-01-10 16:00:00,1.1520299999999999,1.15308,1.14844,1.14994,31090,2,0
2019-01-11 00:00:00,1.14998,1.15309,1.14962,1.15253,11465,2,0
2019-01-11 08:00:00,1.15253,1.154,1.15151,1.15262,31572,3,0
2019-01-11 16:00:00,1.15262,1.15265,1.1457600000000001,1.14626,32618,8,0
2019-01-14 00:00:00,1.14569,1.1481,1.14568,1.1478,8430,4,0
2019-01-14 08:00:00,1.1478,1.14816,1.14501,1.14592,34146,8,0
2019-01-14 16:00:00,1.14592,1.14802,1.14531,1.14678,22167,5,0
2019-01-15 00:00:00,1.14678,1.14893,1.14642,1.14828,9758,3,0
2019-01-15 08:00:00,1.14828,1.14828,1.14118,1.14381,34915,7,0
2019-01-15 16:00:00,1.14383,1.14545,1.13813,1.14124,40362,5,0
2019-01-16 00:00:00,1.14114,1.14148,1.13957,1.14112,9590,4,0
2019-01-16 08:00:00,1.14111,1.1424400000000001,1.13773,1.13898,31142,8,0
2019-01-16 16:00:00,1.13898,1.14102,1.13896,1.13912,26470,6,0
2019-01-17 00:00:00,1.13909,1.14002,1.13787,1.13873,8472,4,0
2019-01-17 08:00:00,1.13872,1.14056,1.13707,1.1397599999999999,29146,8,0
2019-01-17 16:00:00,1.13975,1.14004,1.13697,1.13879,31473,5,0
2019-01-18 00:00:00,1.13878,1.13993,1.13859,1.13888,8627,4,0
2019-01-18 08:00:00,1.13888,1.14099,1.13878,1.13972,23104,8,0
2019-01-18 16:00:00,1.13972,1.14004,1.13528,1.13655,28900,4,0
2019-01-21 00:00:00,1.13587,1.13798,1.13587,1.13773,7857,4,0
2019-01-21 08:00:00,1.13774,1.13907,1.13563,1.13608,17941,8,0
2019-01-21 16:00:00,1.13608,1.13708,1.13569,1.13657,14577,3,0
2019-01-22 00:00:00,1.1364,1.13725,1.13554,1.13571,9794,4,0
2019-01-22 08:00:00,1.13571,1.13668,1.13445,1.13451,25880,8,0
2019-01-22 16:00:00,1.13453,1.13735,1.1335600000000001,1.13594,25051,3,0
2019-01-23 00:00:00,1.13593,1.13683,1.13592,1.13679,9042,3,0
2019-01-23 08:00:00,1.13679,1.13716,1.1350500000000001,1.1354,24496,8,0
2019-01-23 16:00:00,1.1354,1.1394,1.13513,1.13807,26702,3,0
2019-01-24 00:00:00,1.13796,1.13911,1.13777,1.13849,10900,4,0
2019-01-24 08:00:00,1.13848,1.13877,1.1306,1.13349,39976,8,0
2019-01-24 16:00:00,1.13349,1.13804,1.12889,1.13031,40256,3,0
2019-01-25 00:00:00,1.13065,1.13275,1.12997,1.13217,14402,4,0
2019-01-25 08:00:00,1.13217,1.1357599999999999,1.13142,1.13567,31611,8,0
2019-01-25 16:00:00,1.13567,1.14172,1.13558,1.14051,35945,8,0
2019-01-28 00:00:00,1.14006,1.14254,1.13997,1.14114,10238,4,0
2019-01-28 08:00:00,1.14114,1.14234,1.13897,1.14166,24121,8,0
2019-01-28 16:00:00,1.14166,1.14432,1.14045,1.14262,25749,4,0
2019-01-29 00:00:00,1.14253,1.14336,1.142,1.14325,9499,4,0
2019-01-29 08:00:00,1.14325,1.1449799999999999,1.1418,1.14255,28501,2,0
2019-01-29 16:00:00,1.14254,1.144,1.14108,1.1432,39196,8,0
2019-01-30 00:00:00,1.1431499999999999,1.1445400000000001,1.14255,1.14444,10249,4,0
2019-01-30 08:00:00,1.14444,1.14495,1.14215,1.14252,30253,8,0
2019-01-30 16:00:00,1.14252,1.15013,1.14057,1.14779,39616,3,0
2019-01-31 00:00:00,1.14789,1.15085,1.14777,1.15046,10533,4,0
2019-01-31 08:00:00,1.1504699999999999,1.15139,1.14712,1.14941,38377,8,0
2019-01-31 16:00:00,1.14941,1.14951,1.14353,1.14461,30622,8,0
2019-02-01 00:00:00,1.14468,1.14497,1.14339,1.14363,8455,4,0
2019-02-01 08:00:00,1.14363,1.1485400000000001,1.14344,1.14733,31039,8,0
2019-02-01 16:00:00,1.14733,1.1488,1.14471,1.14529,28644,8,0
2019-02-04 00:00:00,1.14506,1.146,1.1441,1.1443,8738,3,0
2019-02-04 08:00:00,1.1443,1.14538,1.1437599999999999,1.14485,24352,4,0
2019-02-04 16:00:00,1.14485,1.145,1.14239,1.1435,23322,5,0
2019-02-05 00:00:00,1.14351,1.14401,1.14302,1.14337,7359,3,0
2019-02-05 08:00:00,1.14337,1.14337,1.14111,1.14283,22436,8,0
2019-02-05 16:00:00,1.14283,1.14335,1.14007,1.14043,22427,8,0
2019-02-06 00:00:00,1.14038,1.14091,1.13956,1.13963,8982,4,0
2019-02-06 08:00:00,1.13962,1.13984,1.13797,1.13863,20921,8,0
2019-02-06 16:00:00,1.13863,1.13898,1.13604,1.13607,21487,2,0
2019-02-07 00:00:00,1.13612,1.1368,1.13563,1.13591,6532,2,0
2019-02-07 08:00:00,1.13591,1.13662,1.13242,1.13304,26384,8,0
2019-02-07 16:00:00,1.13305,1.13596,1.13302,1.13385,22579,8,0
2019-02-08 00:00:00,1.13374,1.13439,1.1335,1.13389,6462,3,0
2019-02-08 08:00:00,1.13389,1.1350500000000001,1.13224,1.13464,19368,8,0
2019-02-08 16:00:00,1.13464,1.13486,1.13206,1.13217,19295,8,0
2019-02-11 00:00:00,1.13196,1.13273,1.13142,1.13238,6231,4,0
2019-02-11 08:00:00,1.13238,1.13296,1.12964,1.131,20816,8,0
2019-02-11 16:00:00,1.131,1.13116,1.12675,1.12748,20027,2,0
2019-02-12 00:00:00,1.12743,1.12847,1.12719,1.1279,8372,5,0
2019-02-12 08:00:00,1.1279,1.12971,1.12573,1.1292200000000001,21756,8,0
2019-02-12 16:00:00,1.12923,1.13392,1.12869,1.13246,21078,5,0
2019-02-13 00:00:00,1.1326100000000001,1.1341,1.1324,1.13378,10786,3,0
2019-02-13 08:00:00,1.13376,1.13384,1.12886,1.1291,24779,8,0
2019-02-13 16:00:00,1.12911,1.13035,1.12595,1.12595,23068,3,0
2019-02-14 00:00:00,1.12609,1.1283400000000001,1.12488,1.12795,10671,4,0
2019-02-14 08:00:00,1.12795,1.13095,1.12493,1.13021,30575,8,0
2019-02-14 16:00:00,1.13022,1.13047,1.12642,1.12939,28250,3,0
2019-02-15 00:00:00,1.1295,1.1296599999999999,1.12822,1.12846,7799,5,0
2019-02-15 08:00:00,1.12846,1.12909,1.12336,1.12525,26388,3,0
2019-02-15 16:00:00,1.12525,1.13058,1.12514,1.1290499999999999,29391,5,0
2019-02-18 00:00:00,1.12917,1.13245,1.12886,1.1308,8413,4,0
2019-02-18 08:00:00,1.1308,1.13335,1.12945,1.13217,17406,8,0
2019-02-18 16:00:00,1.13215,1.13268,1.13019,1.13081,13582,4,0
2019-02-19 00:00:00,1.13087,1.13134,1.12926,1.12991,6744,4,0
2019-02-19 08:00:00,1.12992,1.13242,1.1275,1.12955,25962,8,0
2019-02-19 16:00:00,1.1295600000000001,1.13571,1.12954,1.13394,30790,8,0
2019-02-20 00:00:00,1.13399,1.13557,1.13349,1.13371,8644,3,0
2019-02-20 08:00:00,1.13371,1.1358,1.13243,1.13362,22998,3,0
2019-02-20 16:00:00,1.13362,1.13707,1.13296,1.13351,31224,8,0
2019-02-21 00:00:00,1.13368,1.13524,1.1332200000000001,1.13357,12350,4,0
2019-02-21 08:00:00,1.13357,1.1366,1.13197,1.13618,34519,8,0
2019-02-21 16:00:00,1.13618,1.13655,1.13226,1.1333,27492,4,0
2019-02-22 00:00:00,1.13319,1.13414,1.1329500000000001,1.13378,9527,4,0
2019-02-22 08:00:00,1.13378,1.13512,1.13157,1.13357,20679,8,0
2019-02-22 16:00:00,1.13357,1.13552,1.13274,1.13303,28292,5,0
2019-02-25 00:00:00,1.1333199999999999,1.13489,1.1327,1.13423,10303,2,0
2019-02-25 08:00:00,1.13423,1.1367099999999999,1.13414,1.13542,20160,8,0
2019-02-25 16:00:00,1.13543,1.1367,1.13364,1.1356,25247,4,0
2019-02-26 00:00:00,1.13564,1.1367,1.13538,1.13588,8094,3,0
2019-02-26 08:00:00,1.13587,1.1375,1.13452,1.13718,25127,8,0
2019-02-26 16:00:00,1.1372,1.14024,1.13447,1.1388,30301,3,0
2019-02-27 00:00:00,1.13887,1.13957,1.13747,1.13776,10769,3,0
2019-02-27 08:00:00,1.13775,1.14032,1.13721,1.13843,25181,8,0
2019-02-27 16:00:00,1.1384400000000001,1.13947,1.13619,1.13685,26281,3,0
2019-02-28 00:00:00,1.13692,1.13797,1.1363,1.13753,7917,3,0
2019-02-28 08:00:00,1.13753,1.14192,1.13667,1.13859,31715,8,0
2019-02-28 16:00:00,1.13859,1.13956,1.1359,1.13696,32292,3,0
2019-03-01 00:00:00,1.13697,1.1375,1.13634,1.13701,8079,2,0
2019-03-01 08:00:00,1.13701,1.13874,1.13529,1.13814,25635,8,0
2019-03-01 16:00:00,1.13814,1.14081,1.1354,1.13626,30630,5,0
2019-03-04 00:00:00,1.13734,1.1381000000000001,1.13612,1.13621,8376,3,0
2019-03-04 08:00:00,1.13621,1.1368800000000001,1.1327099999999999,1.13423,28926,8,0
2019-03-04 16:00:00,1.13423,1.13427,1.13087,1.13386,20931,4,0
2019-03-05 00:00:00,1.1339299999999999,1.13406,1.13243,1.13284,8811,3,0
2019-03-05 08:00:00,1.13283,1.13381,1.13156,1.13303,23189,3,0
2019-03-05 16:00:00,1.13303,1.13349,1.12892,1.13069,24132,2,0
2019-03-06 00:00:00,1.13067,1.13074,1.12893,1.12974,9792,4,0
2019-03-06 08:00:00,1.12974,1.13146,1.12852,1.13043,22425,8,0
2019-03-06 16:00:00,1.13043,1.13243,1.13039,1.13053,19877,4,0
2019-03-07 00:00:00,1.13058,1.13153,1.13024,1.1306,6523,4,0
2019-03-07 08:00:00,1.1306,1.13198,1.12535,1.12599,29314,5,0
2019-03-07 16:00:00,1.126,1.126,1.11756,1.11923,34692,4,0
2019-03-08 00:00:00,1.11929,1.12015,1.11848,1.12012,8541,4,0
2019-03-08 08:00:00,1.12012,1.12405,1.11969,1.1225,30250,8,0
2019-03-08 16:00:00,1.1225,1.12457,1.1221700000000001,1.12324,28285,8,0
2019-03-11 00:00:00,1.12345,1.12371,1.12226,1.12329,5839,3,0
2019-03-11 08:00:00,1.12328,1.1258,1.1232199999999999,1.1247,27384,8,0
2019-03-11 16:00:00,1.1247,1.12498,1.12214,1.12485,21084,4,0
2019-03-12 00:00:00,1.12484,1.12735,1.12469,1.1255,10181,4,0
2019-03-12 08:00:00,1.1255,1.12843,1.12487,1.12794,37857,8,0
2019-03-12 16:00:00,1.12794,1.13046,1.12667,1.12877,24446,3,0
2019-03-13 00:00:00,1.12877,1.12899,1.12821,1.1286100000000001,6180,2,0
2019-03-13 08:00:00,1.1286100000000001,1.13122,1.1277,1.1307,24762,8,0
2019-03-13 16:00:00,1.1307,1.1338300000000001,1.12996,1.13301,23799,2,0
2019-03-14 00:00:00,1.133,1.13372,1.1317,1.13192,7894,3,0
2019-03-14 08:00:00,1.13192,1.1335600000000001,1.12938,1.12996,33268,8,0
2019-03-14 16:00:00,1.12995,1.13091,1.12939,1.13043,22390,3,0
2019-03-15 00:00:00,1.1304,1.13268,1.13034,1.13161,7603,3,0
2019-03-15 08:00:00,1.13161,1.13347,1.12996,1.13292,23947,8,0
2019-03-15 16:00:00,1.13291,1.13439,1.1313900000000001,1.1323699999999999,17718,8,0
2019-03-18 00:00:00,1.1323,1.13381,1.13186,1.13341,6957,3,0
2019-03-18 08:00:00,1.1334,1.13586,1.13327,1.13456,20778,8,0
2019-03-18 16:00:00,1.13456,1.13494,1.13241,1.13349,15409,3,0
2019-03-19 00:00:00,1.13348,1.13486,1.1333199999999999,1.13434,6953,3,0
2019-03-19 08:00:00,1.13434,1.13612,1.13432,1.13458,19472,8,0
2019-03-19 16:00:00,1.13459,1.1360000000000001,1.1338300000000001,1.13492,16531,8,0
2019-03-20 00:00:00,1.13491,1.13567,1.13424,1.13469,6328,3,0
2019-03-20 08:00:00,1.13469,1.13658,1.1335,1.13589,21947,8,0
2019-03-20 16:00:00,1.13591,1.14477,1.13456,1.14238,38600,8,0
2019-03-21 00:00:00,1.14238,1.14369,1.14181,1.14193,9368,4,0
2019-03-21 08:00:00,1.14193,1.14292,1.13782,1.1391499999999999,29317,8,0
2019-03-21 16:00:00,1.13916,1.13916,1.1342,1.13727,32518,0,0
2019-03-22 00:00:00,1.13727,1.13784,1.13609,1.13766,8232,4,0
2019-03-22 08:00:00,1.13766,1.13903,1.12881,1.1304400000000001,44362,8,0
2019-03-22 16:00:00,1.13042,1.1308799999999999,1.12729,1.13006,26972,8,0
2019-03-25 00:00:00,1.12934,1.13039,1.12885,1.13028,7283,4,0
2019-03-25 08:00:00,1.13028,1.13267,1.12942,1.13161,28609,8,0
2019-03-25 16:00:00,1.13161,1.1331,1.13096,1.13125,24330,8,0
2019-03-26 00:00:00,1.13125,1.13215,1.13046,1.13069,9419,3,0
2019-03-26 08:00:00,1.13068,1.13256,1.12797,1.12849,30227,8,0
2019-03-26 16:00:00,1.12849,1.12997,1.1262699999999999,1.12699,23477,8,0
2019-03-27 00:00:00,1.12698,1.12767,1.12506,1.12568,10515,4,0
2019-03-27 08:00:00,1.12568,1.12852,1.12464,1.12581,39528,8,0
2019-03-27 16:00:00,1.12582,1.12672,1.12418,1.12508,31505,8,0
2019-03-28 00:00:00,1.12508,1.12576,1.12428,1.12564,9682,5,0
2019-03-28 08:00:00,1.12564,1.12609,1.12132,1.12168,38104,8,0
