datetime,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 16:00:00,0.89155,0.89285,0.89115,0.89194,1490,6,0
2014-01-02 00:00:00,0.89194,0.89369,0.8908,0.89272,22428,6,0
2014-01-02 08:00:00,0.89272,0.90285,0.89229,0.90094,22503,1,0
2014-01-02 16:00:00,0.90102,0.90245,0.89874,0.89932,13670,1,0
2014-01-03 00:00:00,0.89933,0.90041,0.89887,0.9002,7496,1,0
2014-01-03 08:00:00,0.90022,0.90373,0.89968,0.90323,17362,1,0
2014-01-03 16:00:00,0.9032,0.90574,0.90308,0.90466,11778,1,0
2014-01-06 00:00:00,0.90481,0.90667,0.90471,0.90548,7946,1,0
2014-01-06 08:00:00,0.90551,0.90701,0.90352,0.90504,16704,1,0
2014-01-06 16:00:00,0.90505,0.90505,0.90197,0.90365,12897,1,0
2014-01-07 00:00:00,0.90366,0.90656,0.90366,0.90634,7600,1,0
2014-01-07 08:00:00,0.90632,0.90848,0.90517,0.90791,17480,1,0
2014-01-07 16:00:00,0.90792,0.90988,0.90674,0.9093,12170,3,0
2014-01-08 00:00:00,0.90924,0.91013,0.90764,0.9078,8309,3,0
2014-01-08 08:00:00,0.9078,0.91272,0.9078,0.90976,18085,1,0
2014-01-08 16:00:00,0.90977,0.91249,0.90803,0.91142,14685,1,0
2014-01-09 00:00:00,0.91132,0.9123,0.91047,0.91053,7059,3,0
2014-01-09 08:00:00,0.91054,0.91239,0.90727,0.90998,19715,1,0
2014-01-09 16:00:00,0.91,0.91027,0.9063,0.90722,12844,2,0
2014-01-10 00:00:00,0.90723,0.90737,0.90591,0.90702,6787,2,0
2014-01-10 08:00:00,0.90702,0.90899,0.90124,0.9015,17575,1,0
2014-01-10 16:00:00,0.9015,0.90384,0.90049,0.90211,12757,1,0
2014-01-13 00:00:00,0.90214,0.90286,0.90063,0.90157,7436,3,0
2014-01-13 08:00:00,0.90159,0.90476,0.90127,0.90208,16080,1,0
2014-01-13 16:00:00,0.90217,0.90344,0.89863,0.89924,12161,1,0
2014-01-14 00:00:00,0.89924,0.90079,0.89913,0.90077,6810,3,0
2014-01-14 08:00:00,0.90075,0.90314,0.89863,0.9019,17230,1,0
2014-01-14 16:00:00,0.90188,0.90301,0.90031,0.9028,11790,1,0
2014-01-15 00:00:00,0.90277,0.90665,0.90263,0.90559,7679,1,0
2014-01-15 08:00:00,0.90558,0.90981,0.90511,0.90965,16277,1,0
2014-01-15 16:00:00,0.90964,0.91077,0.90818,0.90889,11411,2,0
2014-01-16 00:00:00,0.90886,0.91035,0.90764,0.90803,7213,3,0
2014-01-16 08:00:00,0.90803,0.90918,0.90364,0.90552,16243,1,0
2014-01-16 16:00:00,0.90557,0.90757,0.90318,0.90454,12291,1,0
2014-01-17 00:00:00,0.90455,0.9059,0.90446,0.90487,5487,3,0
2014-01-17 08:00:00,0.90486,0.90935,0.90438,0.90735,15318,1,0
2014-01-17 16:00:00,0.90737,0.91193,0.9073,0.90967,11455,1,0
2014-01-20 00:00:00,0.91083,0.91322,0.91083,0.91106,7296,1,0
2014-01-20 08:00:00,0.91108,0.91179,0.90904,0.90952,11846,1,0
2014-01-20 16:00:00,0.90954,0.91044,0.90885,0.91021,6727,1,0
2014-01-21 00:00:00,0.91021,0.91239,0.91012,0.91185,7325,2,0
2014-01-21 08:00:00,0.91184,0.91563,0.91077,0.91235,16908,1,0
2014-01-21 16:00:00,0.91232,0.91266,0.90845,0.91039,10913,1,0
2014-01-22 00:00:00,0.91029,0.91096,0.90929,0.91082,7642,3,0
2014-01-22 08:00:00,0.91084,0.91222,0.90889,0.91071,14366,1,0
2014-01-22 16:00:00,0.91078,0.91215,0.90975,0.91159,10337,2,0
2014-01-23 00:00:00,0.91154,0.91336,0.91053,0.91061,7753,2,0
2014-01-23 08:00:00,0.91062,0.91089,0.90066,0.90126,19804,1,0
2014-01-23 16:00:00,0.90125,0.90148,0.89636,0.89742,15466,1,0
2014-01-24 00:00:00,0.89742,0.89911,0.89612,0.89809,7504,4,0
2014-01-24 08:00:00,0.89814,0.89856,0.89029,0.89491,21082,1,0
2014-01-24 16:00:00,0.89492,0.89625,0.89361,0.89403,12799,1,0
2014-01-27 00:00:00,0.89423,0.8953,0.89329,0.8953,7340,1,0
2014-01-27 08:00:00,0.89529,0.89842,0.89317,0.89721,16822,1,0
2014-01-27 16:00:00,0.89722,0.89749,0.89492,0.89621,12816,1,0
2014-01-28 00:00:00,0.8962,0.89703,0.89541,0.89566,7078,2,0
2014-01-28 08:00:00,0.89567,0.90098,0.89566,0.89746,16118,1,0
2014-01-28 16:00:00,0.89757,0.90043,0.89712,0.90018,10669,1,0
2014-01-29 00:00:00,0.90016,0.90064,0.89885,0.8998,6348,4,0
2014-01-29 08:00:00,0.89978,0.90092,0.89349,0.89524,19515,1,0
2014-01-29 16:00:00,0.89522,0.8965,0.89372,0.89441,15047,1,0
2014-01-30 00:00:00,0.89438,0.89673,0.89438,0.89596,6967,2,0
2014-01-30 08:00:00,0.89594,0.90243,0.89588,0.90126,19408,1,0
2014-01-30 16:00:00,0.90122,0.90474,0.90064,0.90252,12813,1,0
2014-01-31 00:00:00,0.90251,0.90374,0.902,0.90361,6233,3,0
2014-01-31 08:00:00,0.90361,0.90667,0.90081,0.90639,19977,1,0
2014-01-31 16:00:00,0.90637,0.90795,0.90426,0.90579,12639,1,0
2014-02-03 00:00:00,0.90641,0.90812,0.90501,0.90528,7117,2,0
2014-02-03 08:00:00,0.90529,0.90746,0.90365,0.90521,16197,1,0
2014-02-03 16:00:00,0.90414,0.90428,0.90036,0.90123,14541,1,0
2014-02-04 00:00:00,0.90123,0.90356,0.90082,0.90118,9099,1,0
2014-02-04 08:00:00,0.9012,0.90529,0.90102,0.90487,15690,1,0
2014-02-04 16:00:00,0.90488,0.90615,0.90355,0.90383,10568,1,0
2014-02-05 00:00:00,0.90381,0.90514,0.90299,0.90462,7115,4,0
2014-02-05 08:00:00,0.90462,0.90533,0.90038,0.90391,21335,1,0
2014-02-05 16:00:00,0.90421,0.90566,0.90151,0.90372,15637,1,0
2014-02-06 00:00:00,0.9037,0.90496,0.90361,0.90448,8479,1,0
2014-02-06 08:00:00,0.9045,0.90633,0.89678,0.8988,23146,1,0
2014-02-06 16:00:00,0.8988,0.90105,0.8981,0.90084,13425,1,0
2014-02-07 00:00:00,0.90083,0.90128,0.90038,0.90123,6899,3,0
2014-02-07 08:00:00,0.90126,0.90219,0.89595,0.90141,22702,1,0
2014-02-07 16:00:00,0.90141,0.90163,0.89711,0.89817,12333,1,0
2014-02-10 00:00:00,0.89833,0.89934,0.89805,0.89886,6273,1,0
2014-02-10 08:00:00,0.89885,0.89891,0.89592,0.89763,12084,1,0
2014-02-10 16:00:00,0.89764,0.89791,0.89621,0.89665,8659,1,0
2014-02-11 00:00:00,0.89665,0.89698,0.89395,0.89581,5927,2,0
2014-02-11 08:00:00,0.8958,0.89762,0.89417,0.8965,14456,1,0
2014-02-11 16:00:00,0.89649,0.89875,0.89423,0.89825,10862,1,0
2014-02-12 00:00:00,0.89824,0.89881,0.89703,0.89722,6256,2,0
2014-02-12 08:00:00,0.89723,0.90378,0.89678,0.90259,15520,1,0
2014-02-12 16:00:00,0.9026,0.90311,0.89998,0.90042,9310,1,0
2014-02-13 00:00:00,0.90042,0.90095,0.89546,0.89677,8340,1,0
2014-02-13 08:00:00,0.89676,0.89744,0.89181,0.89378,15891,1,0
2014-02-13 16:00:00,0.89378,0.89488,0.89279,0.89338,9362,1,0
2014-02-14 00:00:00,0.89336,0.89402,0.89197,0.89265,6909,1,0
2014-02-14 08:00:00,0.8927,0.89365,0.89029,0.89274,14550,1,0
